70,-0.6563,SmSA_Indonesian,IMDb_Javanese
88,-0.4958,NusaX_Minangkabau,IMDb_Javanese
89,-0.6788,NusaX_Ngaju,Emot_Indonesian
76,-0.6340,SmSA_Indonesian,IMDb_Javanese
80,-0.5583,SmSA_Indonesian,CodeMixedJVID_Javanese
81,-0.6921,NusaX_TobaBatak,IMDb_Javanese
77,-0.6662,SmSA_Indonesian,IMDb_Javanese
84,-0.5165,SmSA_Indonesian,CodeMixedJVID_Javanese
85,-0.5096,SmSA_Indonesian,NusaX_Javanese
103,-0.3831,NusaX_Banjarese,NusaX_Indonesian
104,-0.5869,NusaX_Banjarese,IMDb_Javanese
105,-0.4095,NusaX_Buginese,NusaX_Indonesian
74,-0.1180,EmotCMT_Indonesian,NusaX_Sundanese
82,-0.1896,EmotCMT_Indonesian,NusaX_Balinese
83,-0.1444,NusaX_Javanese,CodeMixedJVID_Javanese
75,-0.0874,IMDb_Javanese,NusaX_Javanese
86,-0.1771,NusaX_Indonesian,NusaX_Minangkabau
87,-0.1250,SmSA_Indonesian,NusaX_Balinese
97,-0.0248,EmotCMT_Indonesian,NusaX_Indonesian
98,-0.0470,EmotCMT_Indonesian,NusaX_Balinese
99,-0.0212,SmSA_Indonesian,NusaX_Balinese
100,-0.1565,IMDb_Javanese,NusaX_Acehnese
101,-0.1304,IMDb_Javanese,NusaX_Buginese
102,-0.0809,NusaX_Indonesian,Emot_Indonesian
73,-0.1241,IMDb_Javanese,CodeMixedJVID_Javanese
90,-0.1419,NusaX_Balinese,Sentiment_Karonese
91,-0.1143,NusaX_Ngaju,Sentiment_Karonese
