exp_id,backbone,baseline,delta,name_task_effected,name_task_effecting,id_task_effected,id_task_effecting
70,bert,ncl,0.1844,NusaX_Javanese,CodeMixedJVID_Javanese,3,14
88,bert,ncl,0.2206,IMDb_Javanese,SmSA_Indonesian,4,12
89,bert,ncl,0.1844,NusaX_Ngaju,NusaX_Indonesian,0,13
76,bert_adapter,a-gem,0.3353,NusaX_Minangkabau,NusaX_TobaBatak,9,13
80,bert_adapter,a-gem,0.4118,NusaX_Indonesian,NusaX_Ngaju,2,8
81,bert_adapter,a-gem,0.2657,NusaX_Sundanese,NusaX_TobaBatak,7,10
77,bert_adapter,ewc,0.2662,SmSA_Indonesian,NusaX_Indonesian,0,5
84,bert_adapter,ewc,0.3984,NusaX_Javanese,NusaX_TobaBatak,5,15
85,bert_adapter,ewc,0.4020,NusaX_Ngaju,IMDb_Javanese,0,12
103,bert_adapter,hat,0.2446,NusaX_Javanese,NusaX_Balinese,5,10
104,bert_adapter,hat,0.2875,SmSA_Indonesian,IMDb_Javanese,2,12
105,bert_adapter,hat,0.2705,NusaX_Sundanese,NusaX_Banjarese,11,15
74,bert_frozen,a-gem,0.0943,NusaX_Javanese,NusaX_Indonesian,3,5
82,bert_frozen,a-gem,0.1897,NusaX_Indonesian,SmSA_Indonesian,2,12
83,bert_frozen,a-gem,0.1938,NusaX_Ngaju,NusaX_Sundanese,0,7
75,bert_frozen,ewc,0.0637,EmotCMT_Indonesian,NusaX_Ngaju,6,8
86,bert_frozen,ewc,0.1648,NusaX_Indonesian,NusaX_Javanese,2,5
87,bert_frozen,ewc,0.1604,NusaX_Balinese,Sentiment_Karonese,8,9
97,bert_frozen,hat,0.0348,EmotCMT_Indonesian,NusaX_Banjarese,0,1
98,bert_frozen,hat,0.0401,EmotCMT_Indonesian,NusaX_Sundanese,5,7
99,bert_frozen,hat,0.0326,EmotCMT_Indonesian,Emot_Indonesian,6,7
100,bert_frozen,kan,0.2587,IMDb_Javanese,SmSA_Indonesian,4,12
101,bert_frozen,kan,0.1834,SmSA_Indonesian,NusaX_Sundanese,2,7
102,bert_frozen,kan,0.0669,NusaX_Ngaju,NusaX_Sundanese,8,11
73,bert_frozen,ncl,0.1411,EmotCMT_Indonesian,NusaX_Sundanese,6,11
90,bert_frozen,ncl,0.1785,NusaX_Indonesian,SmSA_Indonesian,2,12
91,bert_frozen,ncl,0.1416,NusaX_Ngaju,NusaX_Sundanese,0,7
